% Model,System_batch.mph
% Version,COMSOL 6.0.0.318
% Date,"Sep 29 2023, 10:36"
% Table,Generator_export - 
% Time,Q,DH,QHD,QHH,prod,Qm,DHp,QH,D,QD
6.757062950026901E-8,0.9932969970349599,0.9932891959090265,7.801285783662608E-6,7.801142568375905E-6,7.801284959649632E-6,0.005839981884004762,0.005839981884004762,8.474186360486354E-4,8.474183366523336E-4,1.5960532312965157E-11
6.796414062099036E-8,0.9932584603790175,0.9932503723867632,8.088158551663683E-6,8.088009233193977E-6,8.088157635038182E-6,0.0058653261963365,0.0058653261963365,8.600372398826978E-4,8.600369281331584E-4,1.6300446367719616E-11
6.835765174171172E-8,0.9932199353191931,0.9932115518878862,8.38360427743177E-6,8.383448634429337E-6,8.383603262608771E-6,0.005890550771632027,0.005890550771632027,8.727468389357262E-4,8.727465143962553E-4,1.6645524580392905E-11
6.875116286243307E-8,0.9931814220437484,0.9931727344117034,8.68781192215975E-6,8.687649726814303E-6,8.687810803270596E-6,0.005915655663581929,0.005915655663581929,8.855468133392697E-4,8.855464755607777E-4,1.6995808770458443E-11
6.914467398315443E-8,0.9931429207432286,0.9931339199575141,9.000972737702055E-6,9.000803755607455E-6,9.000971508582185E-6,0.005940640932730156,0.005940640932730156,8.984365295071047E-4,8.984361780278604E-4,1.735134065639052E-11
6.953818510387579E-8,0.9931044316104461,0.9930951085246112,9.323280250741291E-6,9.323104240758924E-6,9.323278904917594E-6,0.00596550664640386,0.00596550664640386,9.114153402529929E-4,9.114149745983758E-4,1.7712161852133343E-11
6.993169622459714E-8,0.9930659548404639,0.9930563001122797,9.654930245898713E-6,9.654746960019553E-6,9.65492877657644E-6,0.005990252878642934,0.005990252878642934,9.244825849118909E-4,9.244822045941409E-4,1.807831386360488E-11
7.03252073453185E-8,0.9930274906305762,0.9930174947197967,9.996120747787324E-6,9.995929930992694E-6,9.996119147836583E-6,0.006014879710129312,0.006014879710129312,9.376375894645914E-4,9.376371939825586E-4,1.844983808523583E-11
7.071871846603985E-8,0.992989039180292,0.9929786923464324,1.034705200200712E-5,1.0346853392128211E-5,1.0347050263948908E-5,0.0060393872281160055,0.0060393872281160055,9.508796666657845E-4,9.508792555046753E-4,1.8826775796544393E-11
7.111222958676121E-8,0.9929506006913126,0.9929398929914486,1.0707926455082565E-5,1.0707719782658693E-5,1.0707924571074336E-5,0.006063775526355912,0.006063775526355912,9.642081161755126E-4,9.642076888066361E-4,1.920916815874725E-11
7.150574070748256E-8,0.9929121753675106,0.9929010966540998,1.1078948733343087E-5,1.1078733721478736E-5,1.1078946695163859E-5,0.0060880447050304445,0.0060880447050304445,9.776222246940063E-4,9.776217805745173E-4,1.9597056211407243E-11
7.189925182820392E-8,0.9928737634149091,0.9928623033336319,1.1460325620748063E-5,1.1460101984968758E-5,1.1460323419783038E-5,0.006112194870677935,0.006112194870677935,9.911212660998713E-4,9.911208046725136E-4,1.999048086911822E-11
7.229276294892527E-8,0.9928353650416567,0.9928235130292837,1.1852266035658417E-5,1.1852033483765422E-5,1.185226366288311E-5,0.006136226136121899,0.006136226136121899,0.0010047045015916063,0.001004704022284454,2.0389482918227635E-11
7.268627406964663E-8,0.9927969804580046,0.9927847257402852,1.2254981006557651E-5,1.2254739238481542E-5,1.2254978452521528E-5,0.006160138620399131,0.006160138620399131,0.0010183711798324266,0.0010183706820586233,2.0794103013597185E-11
7.307978519036799E-8,0.99275860987628,0.9927459414658588,1.2668683646725782E-5,1.2668432354378925E-5,1.2668680901535365E-5,0.0061839324486876604,0.0061839324486876604,0.001032120537098359,0.0010321200202558578,2.1204381675402076E-11
7.347329631108934E-8,0.9927202535108599,0.9927071602052181,1.3093589127870367E-5,1.3093327994998325E-5,1.3093586181171853E-5,0.006207607752234604,0.006207607752234604,0.0010459517974295864,0.0010459512609008867,2.1620359285969326E-11
